feature_stem,deepnsd_model_string,model,train_task,train_data,architecture,model_class,model_depth,display_name,metric,model_layer,model_layer_depth,mean_train,mean_test,n_subjects,rank_by_mean_train,rank_by_mean_test,selection_rule
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,wrsa,PreActBottleneck-15,0.9345238095238096,0.7093923976901846,0.6929888400845354,4,2,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,wrsa,StdConv2d-49,0.9107142857142856,0.7098710828740463,0.6917423745842137,4,1,2,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,crsa,StdConv2d-39,0.7261904761904762,0.35918757190998907,0.34866567459343667,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,crsa,StdConv2d-39,0.7261904761904762,0.35918757190998907,0.34866567459343667,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,srpr,GroupNorm-45,0.9166666666666666,0.37081349487779924,0.3824768084322612,4,2,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,srpr,StdConv2d-49,0.9107142857142856,0.371938161279561,0.38120998636609255,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,wrsa,StdConv2d-49,0.9107142857142856,0.7075710249733613,0.6990413814519263,4,2,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,wrsa,PreActBottleneck-15,0.9345238095238096,0.7080201874446921,0.694413663162916,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,crsa,StdConv2d-39,0.7261904761904762,0.341780247854361,0.3338141808014096,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,crsa,StdConv2d-39,0.7261904761904762,0.341780247854361,0.3338141808014096,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,srpr,PreActBottleneck-15,0.9345238095238096,0.37176337843910506,0.3827540132326832,4,4,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,srpr,StdConv2d-49,0.9107142857142856,0.3728774051002386,0.38228905331271423,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,wrsa,StdConv2d-49,0.9107142857142856,0.7041051031053155,0.6927792489137083,4,3,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,wrsa,PreActBottleneck-15,0.9345238095238096,0.7084413374861483,0.6902176267460353,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,crsa,StdConv2d-39,0.7261904761904762,0.3704502197071838,0.3559483331160409,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,crsa,StdConv2d-39,0.7261904761904762,0.3704502197071838,0.3559483331160409,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,srpr,GroupNorm-45,0.9166666666666666,0.37381784794444306,0.3839457575467569,4,2,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,srpr,StdConv2d-49,0.9107142857142856,0.37436882590316256,0.38307997102208846,4,1,2,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,wrsa,GroupNorm-45,0.9166666666666666,0.7043398651923063,0.6928081167834033,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food_bit_expert,BiT-Expert-ResNet-V2-Food,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Food,wrsa,GroupNorm-45,0.9166666666666666,0.7043398651923063,0.6928081167834033,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,crsa,StdConv2d-39,0.7261904761904762,0.36229026791161534,0.3528464197029044,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,crsa,StdConv2d-39,0.7261904761904762,0.36229026791161534,0.3528464197029044,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,srpr,PreActBottleneck-15,0.9345238095238096,0.3721920114701853,0.38451488299106085,4,3,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,srpr,StdConv2d-48,0.8928571428571429,0.37387189279541255,0.380049954241021,4,1,5,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,wrsa,PreActBottleneck-15,0.9345238095238096,0.7041094873249489,0.6945852468222031,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument_bit_expert,BiT-Expert-ResNet-V2-Instrument,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Instrument,wrsa,PreActBottleneck-15,0.9345238095238096,0.7041094873249489,0.6945852468222031,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Mammal,crsa,StdConv2d-39,0.7261904761904762,0.3600522684617798,0.3543992349504783,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Mammal,crsa,StdConv2d-39,0.7261904761904762,0.3600522684617798,0.3543992349504783,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Mammal,srpr,PreActBottleneck-15,0.9345238095238096,0.371253356464766,0.38300610993509326,4,2,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Mammal,srpr,StdConv2d-49,0.9107142857142856,0.37258066232872533,0.3807045069036062,4,1,3,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Mammal,wrsa,PreActBottleneck-15,0.9345238095238096,0.7089263129903629,0.7000592134440389,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal_bit_expert,BiT-Expert-ResNet-V2-Mammal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Mammal,wrsa,PreActBottleneck-15,0.9345238095238096,0.7089263129903629,0.7000592134440389,4,1,1,highest_mean_train_score_across_subjects
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Object,crsa,StdConv2d-39,0.7261904761904762,0.366109669312778,0.35547114193698515,4,1,1,highest_mean_test_score_across_subjects_posthoc
BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object_bit_expert,BiT-Expert-ResNet-V2-Object,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Object,crsa,StdConv2d-39,0.7261904761904762,0.366109669312778,0.35547114193698515,4,1,1,highest_mean_train_score_across_subjects
