deepnsd_model_string,feature_stem,model,train_task,train_data,architecture,model_class,model_depth,display_name,metric,region,subj_id,model_layer,model_layer_depth,nsd_test_score_for_train_selected_layer
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,srpr,OTC,1,PreActBottleneck-15,0.93452380952381,0.364371785983938
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,srpr,OTC,2,StdConv2d-48,0.892857142857143,0.403354462023442
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,srpr,OTC,5,GroupNorm-45,0.916666666666667,0.425153901563711
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,srpr,OTC,7,StdConv2d-49,0.910714285714286,0.339771553325765
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,wrsa,OTC,1,PreActBottleneck-15,0.93452380952381,0.691861534254816
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,wrsa,OTC,2,PreActBottleneck-15,0.93452380952381,0.715144327924713
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,wrsa,OTC,5,StdConv2d-49,0.910714285714286,0.74528295118571
BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal_bit_expert,BiT-Expert-ResNet-V2-Animal,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Animal,wrsa,OTC,7,StdConv2d-49,0.910714285714286,0.635802772693713
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,crsa,OTC,1,StdConv2d-39,0.726190476190476,0.359831986546701
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,crsa,OTC,2,StdConv2d-39,0.726190476190476,0.37464664913642
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,crsa,OTC,5,StdConv2d-39,0.726190476190476,0.364449961223425
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,crsa,OTC,7,StdConv2d-39,0.726190476190476,0.345847302336894
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,srpr,OTC,1,PreActBottleneck-15,0.93452380952381,0.36367124251599
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,srpr,OTC,2,StdConv2d-48,0.892857142857143,0.40439233428563
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,srpr,OTC,5,GroupNorm-45,0.916666666666667,0.426483018059907
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,srpr,OTC,7,StdConv2d-49,0.910714285714286,0.342183728458395
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,wrsa,OTC,1,PreActBottleneck-15,0.93452380952381,0.687252341180587
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,wrsa,OTC,2,PreActBottleneck-15,0.93452380952381,0.709997167449335
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,wrsa,OTC,5,StdConv2d-49,0.910714285714286,0.737665406715818
BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod_bit_expert,BiT-Expert-ResNet-V2-Arthropod,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Arthropod,wrsa,OTC,7,StdConv2d-49,0.910714285714286,0.629416431009022
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,crsa,OTC,1,StdConv2d-39,0.726190476190476,0.344049444232121
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,crsa,OTC,2,StdConv2d-39,0.726190476190476,0.361542661101891
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,crsa,OTC,5,StdConv2d-39,0.726190476190476,0.354464087315299
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,crsa,OTC,7,StdConv2d-39,0.726190476190476,0.334606505724435
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,srpr,OTC,1,PreActBottleneck-15,0.93452380952381,0.362267455944837
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,srpr,OTC,2,StdConv2d-48,0.892857142857143,0.400626233902581
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,srpr,OTC,5,GroupNorm-45,0.916666666666667,0.423844096846795
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,srpr,OTC,7,StdConv2d-49,0.910714285714286,0.33812849732232
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,wrsa,OTC,1,PreActBottleneck-15,0.93452380952381,0.688924710806967
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,wrsa,OTC,2,PreActBottleneck-15,0.93452380952381,0.710918873349288
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,wrsa,OTC,5,PreActBottleneck-15,0.93452380952381,0.748744806372944
BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird_bit_expert,BiT-Expert-ResNet-V2-Bird,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Bird,wrsa,OTC,7,StdConv2d-49,0.910714285714286,0.63573059151645
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,crsa,OTC,1,StdConv2d-39,0.726190476190476,0.33214661653339
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,crsa,OTC,2,StdConv2d-39,0.726190476190476,0.343494149959644
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,crsa,OTC,5,StdConv2d-39,0.726190476190476,0.336182231429866
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,crsa,OTC,7,StdConv2d-39,0.726190476190476,0.323433725282738
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,srpr,OTC,1,StdConv2d-48,0.892857142857143,0.362599363707236
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,srpr,OTC,2,StdConv2d-48,0.892857142857143,0.403141630886665
BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower_bit_expert,BiT-Expert-ResNet-V2-Flower,bit_expert,big_transfer,ResNet50-V2,Convolutional,168.0,BiT-Expert-ResNet-V2-Flower,srpr,OTC,5,GroupNorm-45,0.916666666666667,0.424259979396052
