source_order,feature_stem,feature_file,result_model,feature_exists,in_manifest,status,deepnsd_model_string,model_display_name,model_class,architecture,train_type,train_data,compare_architecture,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_goal_selfsupervised,compare_goal_contrastive,compare_goal_slip,compare_diet_imagenetsize,compare_diet_ipcl,needed_for,all_deepnsd_model_strings
94,vit_small_patch16_224_classification,vit_small_patch16_224_classification.h5,vit_small_patch16_224_classification,True,True,included,vit_small_patch16_224_classification,ViT-S-P16,Transformer,vit_small_patch16_224,classification,imagenet,Transformer,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,vit_small_patch16_224_classification
95,vit_tiny_patch16_224_classification,vit_tiny_patch16_224_classification.h5,vit_tiny_patch16_224_classification,True,True,included,vit_tiny_patch16_224_classification,ViT-T-P16,Transformer,vit_tiny_patch16_224,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,vit_tiny_patch16_224_classification
96,vit_base_patch16_224_classification,vit_base_patch16_224_classification.h5,vit_base_patch16_224_classification,True,True,included,vit_base_patch16_224_classification,ViT-B-P16,Transformer,vit_base_patch16_224,classification,imagenet,Transformer,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,vit_base_patch16_224_classification
97,vit_base_patch32_224_classification,vit_base_patch32_224_classification.h5,vit_base_patch32_224_classification,True,True,included,vit_base_patch32_224_classification,ViT-B-P32,Transformer,vit_base_patch32_224,classification,imagenet,Transformer,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,vit_base_patch32_224_classification
98,vit_small_patch32_224_classification,vit_small_patch32_224_classification.h5,vit_small_patch32_224_classification,True,True,included,vit_small_patch32_224_classification,ViT-S-P32,Transformer,vit_small_patch32_224,classification,imagenet,Transformer,,,,,,imagenet,,fig2_architecture_cnn_transformer;fig4_imagenet_size,vit_small_patch32_224_classification
99,xception_classification,xception_classification.h5,xception_classification,True,True,included,xception_classification,XCeption,Convolutional,xception,classification,imagenet,Convolutional,,,,,,,,fig2_architecture_cnn_transformer,xception_classification
100,xcit_nano_12_p8_224_classification,xcit_nano_12_p8_224_classification.h5,xcit_nano_12_p8_224_classification,True,True,included,xcit_nano_12_p8_224_classification,XCIT-N-12-P8,Transformer,xcit_nano_12_p8_224,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,xcit_nano_12_p8_224_classification
101,xcit_nano_12_p16_224_classification,xcit_nano_12_p16_224_classification.h5,xcit_nano_12_p16_224_classification,True,True,included,xcit_nano_12_p16_224_classification,XCIT-N-12-P16,Transformer,xcit_nano_12_p16_224,classification,imagenet,Transformer,,,,,,,,fig2_architecture_cnn_transformer,xcit_nano_12_p16_224_classification
24,autoencoding_taskonomy,autoencoding_taskonomy.h5,autoencoding_taskonomy,True,True,included,autoencoding_taskonomy,Autoencoder,Convolutional,resnet50,taskonomy,taskonomy,,autoencoding,2D,,,,,,fig3_taskonomy,autoencoding_taskonomy
25,class_object_taskonomy,class_object_taskonomy.h5,class_object_taskonomy,True,True,included,class_object_taskonomy,Object Classification,Convolutional,resnet50,taskonomy,taskonomy,,class_object,Semantic,,,,,,fig3_taskonomy,class_object_taskonomy
26,class_scene_taskonomy,class_scene_taskonomy.h5,class_scene_taskonomy,True,True,included,class_scene_taskonomy,Scene Classification,Convolutional,resnet50,taskonomy,taskonomy,,class_scene,Semantic,,,,,,fig3_taskonomy,class_scene_taskonomy
27,curvature_taskonomy,curvature_taskonomy.h5,curvature_taskonomy,True,True,included,curvature_taskonomy,Curvatures,Convolutional,resnet50,taskonomy,taskonomy,,curvature,3D,,,,,,fig3_taskonomy,curvature_taskonomy
28,denoising_taskonomy,denoising_taskonomy.h5,denoising_taskonomy,True,True,included,denoising_taskonomy,Denoising,Convolutional,resnet50,taskonomy,taskonomy,,denoising,Other,,,,,,fig3_taskonomy,denoising_taskonomy
29,depth_euclidean_taskonomy,depth_euclidean_taskonomy.h5,depth_euclidean_taskonomy,True,True,included,depth_euclidean_taskonomy,Euclidean Depth,Convolutional,resnet50,taskonomy,taskonomy,,depth_euclidean,3D,,,,,,fig3_taskonomy,depth_euclidean_taskonomy
30,depth_zbuffer_taskonomy,depth_zbuffer_taskonomy.h5,depth_zbuffer_taskonomy,True,True,included,depth_zbuffer_taskonomy,Z-Buffer Depth,Convolutional,resnet50,taskonomy,taskonomy,,depth_zbuffer,3D,,,,,,fig3_taskonomy,depth_zbuffer_taskonomy
31,edge_occlusion_taskonomy,edge_occlusion_taskonomy.h5,edge_occlusion_taskonomy,True,True,included,edge_occlusion_taskonomy,Occlusion Edges,Convolutional,resnet50,taskonomy,taskonomy,,edge_occlusion,3D,,,,,,fig3_taskonomy,edge_occlusion_taskonomy
32,edge_texture_taskonomy,edge_texture_taskonomy.h5,edge_texture_taskonomy,True,True,included,edge_texture_taskonomy,Texture Edges,Convolutional,resnet50,taskonomy,taskonomy,,edge_texture,2D,,,,,,fig3_taskonomy,edge_texture_taskonomy
33,egomotion_taskonomy,egomotion_taskonomy.h5,egomotion_taskonomy,True,True,included,egomotion_taskonomy,Egomotion,Convolutional,resnet50,taskonomy,taskonomy,,egomotion,Geometric,,,,,,fig3_taskonomy,egomotion_taskonomy
34,fixated_pose_taskonomy,fixated_pose_taskonomy.h5,fixated_pose_taskonomy,True,True,included,fixated_pose_taskonomy,Camera Pose (Fixated),Convolutional,resnet50,taskonomy,taskonomy,,fixated_pose,Geometric,,,,,,fig3_taskonomy,fixated_pose_taskonomy
35,inpainting_taskonomy,inpainting_taskonomy.h5,inpainting_taskonomy,True,True,included,inpainting_taskonomy,Inpainting,Convolutional,resnet50,taskonomy,taskonomy,,inpainting,2D,,,,,,fig3_taskonomy,inpainting_taskonomy
36,jigsaw_taskonomy,jigsaw_taskonomy.h5,jigsaw_taskonomy,True,True,included,jigsaw_taskonomy,Jigsaw,Convolutional,resnet50,taskonomy,taskonomy,,jigsaw,Geometric,,,,,,fig3_taskonomy,jigsaw_taskonomy
37,keypoints2d_taskonomy,keypoints2d_taskonomy.h5,keypoints2d_taskonomy,True,True,included,keypoints2d_taskonomy,2D Keypoints,Convolutional,resnet50,taskonomy,taskonomy,,keypoints2d,2D,,,,,,fig3_taskonomy,keypoints2d_taskonomy
