subject,model,eval_type,region,model_layer,model_layer_index,test_score,train_score,max_model_layer_index,selected_layer_fraction,score
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,FBA,ReLU-49,77,0.15074144303798676,0.1635427325963974,78,0.9871794871794872,0.15074144303798676
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,FFA-1,ReLU-46,68,0.14690741896629333,0.20130926370620728,78,0.8717948717948718,0.14690741896629333
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,FFA-2,BatchNorm2d-49,64,0.1774113029241562,0.18587708473205566,78,0.8205128205128205,0.1774113029241562
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,OFA,BatchNorm2d-49,64,0.20165196061134338,0.18856681883335114,78,0.8205128205128205,0.20165196061134338
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,OPA,BatchNorm2d-45,53,0.15825991332530975,0.17896871268749237,78,0.6794871794871795,0.15825991332530975
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,PPA,BatchNorm2d-45,53,0.17404040694236755,0.18147139251232147,78,0.6794871794871795,0.17404040694236755
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,VWFA-1,ReLU-46,68,0.14354828000068665,0.17472170293331146,78,0.8717948717948718,0.14354828000068665
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,VWFA-2,BatchNorm2d-49,64,0.10488636046648026,0.12551668286323547,78,0.8205128205128205,0.10488636046648026
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,l-objects,ReLU-49,77,0.17876747250556946,0.19994594156742096,78,0.9871794871794872,0.17876747250556946
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,laion-lateral,BatchNorm2d-49,64,0.19425392150878906,0.2146853357553482,78,0.8205128205128205,0.19425392150878906
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,laion-ventral,Conv2d-28,1,0.2747044265270233,0.26594847440719604,78,0.01282051282051282,0.2747044265270233
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,mfs-words,BatchNorm2d-39,35,0.11891584098339081,0.11361214518547058,78,0.44871794871794873,0.11891584098339081
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,otc,ReLU-46,68,0.20602893829345703,0.24565133452415466,78,0.8717948717948718,0.20602893829345703
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,otc-category,ReLU-49,77,0.21077276766300201,0.2328636348247528,78,0.9871794871794872,0.21077276766300201
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,otc-streams,ReLU-46,68,0.20625901222229004,0.2493351548910141,78,0.8717948717948718,0.20625901222229004
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,crsa,v-objects,BatchNorm2d-39,35,0.18310676515102386,0.20920729637145996,78,0.44871794871794873,0.18310676515102386
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,EBA,Conv2d-49,63,0.3650512397289276,0.26516059041023254,78,0.8076923076923077,0.3650512397289276
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,FBA,Conv2d-52,72,0.37632662057876587,0.35951176285743713,78,0.9230769230769231,0.37632662057876587
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,FFA-1,BatchNorm2d-52,73,0.27722975611686707,0.20480649173259735,78,0.9358974358974359,0.27722975611686707
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,FFA-2,AdaptiveAvgPool2d-1,78,0.3002256751060486,0.2945987284183502,78,1.0,0.3002256751060486
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,OFA,Conv2d-36,25,0.38076668977737427,0.19212692975997925,78,0.32051282051282054,0.38076668977737427
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,OPA,BatchNorm2d-49,64,0.3536393344402313,0.1376347541809082,78,0.8205128205128205,0.3536393344402313
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,PPA,Conv2d-51,69,0.3541354835033417,0.20079563558101654,78,0.8846153846153846,0.3541354835033417
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,VWFA-1,Conv2d-51,69,0.31858009099960327,0.21525976061820984,78,0.8846153846153846,0.31858009099960327
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,VWFA-2,Conv2d-49,63,0.17879514396190643,0.08088433742523193,78,0.8076923076923077,0.17879514396190643
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,l-objects,BatchNorm2d-52,73,0.39430704712867737,0.30155131220817566,78,0.9358974358974359,0.39430704712867737
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,laion-lateral,Conv2d-49,63,0.30992937088012695,0.21217350661754608,78,0.8076923076923077,0.30992937088012695
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,laion-ventral,BatchNorm2d-49,64,0.4649410843849182,0.3055497109889984,78,0.8205128205128205,0.4649410843849182
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,mfs-words,ReLU-36,36,0.22840048372745514,0.08549318462610245,78,0.46153846153846156,0.22840048372745514
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,otc,BatchNorm2d-49,64,0.420625776052475,0.28781047463417053,78,0.8205128205128205,0.420625776052475
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,otc-category,Conv2d-51,69,0.4760652482509613,0.37855497002601624,78,0.8846153846153846,0.4760652482509613
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,otc-streams,BatchNorm2d-49,64,0.4098488688468933,0.28246667981147766,78,0.8205128205128205,0.4098488688468933
sub-01,ResNet50-ClusterFit-16K-RotNet_selfsupervised,wrsa,v-objects,Conv2d-52,72,0.5969908833503723,0.46527546644210815,78,0.9230769230769231,0.5969908833503723
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,EBA,BatchNorm2d-52,73,0.29690447449684143,0.3016296923160553,78,0.9358974358974359,0.29690447449684143
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,FBA,BatchNorm2d-52,73,0.24578706920146942,0.29389312863349915,78,0.9358974358974359,0.24578706920146942
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,FFA-1,Conv2d-52,72,0.20607434213161469,0.2361883521080017,78,0.9230769230769231,0.20607434213161469
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,FFA-2,Conv2d-52,72,0.2025700807571411,0.227004274725914,78,0.9230769230769231,0.2025700807571411
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,OFA,BatchNorm2d-51,70,0.19850313663482666,0.22298301756381989,78,0.8974358974358975,0.19850313663482666
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,OPA,BatchNorm2d-51,70,0.26843908429145813,0.30712196230888367,78,0.8974358974358975,0.26843908429145813
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,PPA,BatchNorm2d-48,61,0.30350780487060547,0.29138824343681335,78,0.782051282051282,0.30350780487060547
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,VWFA-1,BatchNorm2d-52,73,0.30056220293045044,0.30246493220329285,78,0.9358974358974359,0.30056220293045044
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,VWFA-2,BatchNorm2d-52,73,0.2169877290725708,0.2440648078918457,78,0.9358974358974359,0.2169877290725708
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,l-objects,BatchNorm2d-52,73,0.31500235199928284,0.3126497268676758,78,0.9358974358974359,0.31500235199928284
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,laion-lateral,BatchNorm2d-51,70,0.28656628727912903,0.3420864939689636,78,0.8974358974358975,0.28656628727912903
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,laion-ventral,BatchNorm2d-51,70,0.3491591215133667,0.40869802236557007,78,0.8974358974358975,0.3491591215133667
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,mfs-words,BatchNorm2d-52,73,0.22304247319698334,0.2083224356174469,78,0.9358974358974359,0.22304247319698334
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,otc,BatchNorm2d-51,70,0.34944915771484375,0.404480516910553,78,0.8974358974358975,0.34944915771484375
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,otc-category,BatchNorm2d-51,70,0.33149218559265137,0.3683326840400696,78,0.8974358974358975,0.33149218559265137
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,otc-streams,BatchNorm2d-51,70,0.3493175506591797,0.40774840116500854,78,0.8974358974358975,0.3493175506591797
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,crsa,v-objects,BatchNorm2d-42,44,0.33383581042289734,0.33828309178352356,78,0.5641025641025641,0.33383581042289734
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,EBA,Conv2d-49,63,0.39510685205459595,0.30403822660446167,78,0.8076923076923077,0.39510685205459595
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,FBA,ReLU-44,62,0.3827206790447235,0.38513386249542236,78,0.7948717948717948,0.3827206790447235
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,FFA-1,Conv2d-49,63,0.28648918867111206,0.21680526435375214,78,0.8076923076923077,0.28648918867111206
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,FFA-2,BatchNorm2d-51,70,0.3388107120990753,0.3276519179344177,78,0.8974358974358975,0.3388107120990753
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,OFA,Conv2d-30,7,0.3046317994594574,0.19756685197353363,78,0.08974358974358974,0.3046317994594574
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,OPA,Conv2d-49,63,0.33801066875457764,0.1666969507932663,78,0.8076923076923077,0.33801066875457764
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,PPA,ReLU-48,74,0.3931716978549957,0.22822383046150208,78,0.9487179487179487,0.3931716978549957
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,VWFA-1,ReLU-48,74,0.33220043778419495,0.25185370445251465,78,0.9487179487179487,0.33220043778419495
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,VWFA-2,BatchNorm2d-53,76,0.18462243676185608,0.1065048947930336,78,0.9743589743589743,0.18462243676185608
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,l-objects,Conv2d-49,63,0.43138208985328674,0.35183143615722656,78,0.8076923076923077,0.43138208985328674
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,laion-lateral,Conv2d-49,63,0.35952743887901306,0.24029432237148285,78,0.8076923076923077,0.35952743887901306
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,laion-ventral,Conv2d-49,63,0.4492553174495697,0.34002676606178284,78,0.8076923076923077,0.4492553174495697
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,mfs-words,ReLU-48,74,0.2846657335758209,0.12262525409460068,78,0.9487179487179487,0.2846657335758209
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,otc,Conv2d-49,63,0.43839994072914124,0.32345569133758545,78,0.8076923076923077,0.43839994072914124
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,otc-category,Conv2d-49,63,0.5330830216407776,0.42794153094291687,78,0.8076923076923077,0.5330830216407776
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,otc-streams,Conv2d-49,63,0.4292680621147156,0.317419171333313,78,0.8076923076923077,0.4292680621147156
sub-01,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,wrsa,v-objects,ReLU-44,62,0.6366700530052185,0.512981116771698,78,0.7948717948717948,0.6366700530052185
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,EBA,BatchNorm2d-31,11,0.12312005460262299,0.14962774515151978,78,0.14102564102564102,0.12312005460262299
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,FBA,Conv2d-39,34,0.12074282765388489,0.15543293952941895,78,0.4358974358974359,0.12074282765388489
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,FFA-1,BatchNorm2d-31,11,0.10443727672100067,0.11768225580453873,78,0.14102564102564102,0.10443727672100067
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,FFA-2,BatchNorm2d-40,38,0.07083840668201447,0.0927417203783989,78,0.48717948717948717,0.07083840668201447
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,OFA,BatchNorm2d-31,11,0.10047395527362823,0.11676080524921417,78,0.14102564102564102,0.10047395527362823
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,OPA,BatchNorm2d-36,26,0.18673865497112274,0.20917929708957672,78,0.3333333333333333,0.18673865497112274
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,PPA,BatchNorm2d-36,26,0.20222745835781097,0.21683269739151,78,0.3333333333333333,0.20222745835781097
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,VWFA-1,BatchNorm2d-36,26,0.155501589179039,0.18394242227077484,78,0.3333333333333333,0.155501589179039
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,VWFA-2,Conv2d-36,25,0.05879399552941322,0.08052828907966614,78,0.32051282051282054,0.05879399552941322
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,l-objects,Conv2d-39,34,0.14768283069133759,0.15766355395317078,78,0.4358974358974359,0.14768283069133759
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,laion-lateral,BatchNorm2d-36,26,0.1648353934288025,0.1836496740579605,78,0.3333333333333333,0.1648353934288025
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,laion-ventral,BatchNorm2d-36,26,0.2132490873336792,0.2528415322303772,78,0.3333333333333333,0.2132490873336792
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,mfs-words,Conv2d-43,46,0.09465543180704117,0.16720783710479736,78,0.5897435897435898,0.09465543180704117
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,otc,BatchNorm2d-36,26,0.21428006887435913,0.241428405046463,78,0.3333333333333333,0.21428006887435913
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,otc-category,Conv2d-39,34,0.20939518511295319,0.24340522289276123,78,0.4358974358974359,0.20939518511295319
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,otc-streams,BatchNorm2d-36,26,0.21102207899093628,0.2383541613817215,78,0.3333333333333333,0.21102207899093628
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,crsa,v-objects,Conv2d-39,34,0.2485753893852234,0.3020937740802765,78,0.4358974358974359,0.2485753893852234
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,EBA,BatchNorm2d-41,41,0.30429184436798096,0.2401183843612671,78,0.5256410256410257,0.30429184436798096
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,FBA,ReLU-36,36,0.307882696390152,0.31961122155189514,78,0.46153846153846156,0.307882696390152
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,FFA-1,BatchNorm2d-38,32,0.21921634674072266,0.16846556961536407,78,0.41025641025641024,0.21921634674072266
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,FFA-2,AdaptiveAvgPool2d-1,78,0.336114764213562,0.2653212547302246,78,1.0,0.336114764213562
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,OFA,Conv2d-31,10,0.42015746235847473,0.15371304750442505,78,0.1282051282051282,0.42015746235847473
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,OPA,ReLU-36,36,0.27769601345062256,0.16747477650642395,78,0.46153846153846156,0.27769601345062256
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,PPA,ReLU-38,42,0.34172627329826355,0.2132362574338913,78,0.5384615384615384,0.34172627329826355
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,VWFA-1,BatchNorm2d-39,35,0.3000260889530182,0.2147960662841797,78,0.44871794871794873,0.3000260889530182
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,VWFA-2,ReLU-37,39,0.17126299440860748,0.07595229148864746,78,0.5,0.17126299440860748
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,l-objects,BatchNorm2d-40,38,0.3276904821395874,0.27976787090301514,78,0.48717948717948717,0.3276904821395874
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,laion-lateral,BatchNorm2d-39,35,0.24351628124713898,0.19658944010734558,78,0.44871794871794873,0.24351628124713898
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,laion-ventral,ReLU-36,36,0.3428369462490082,0.2938682436943054,78,0.46153846153846156,0.3428369462490082
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,mfs-words,Conv2d-40,37,0.2889763414859772,0.1217370554804802,78,0.47435897435897434,0.2889763414859772
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,otc,ReLU-36,36,0.3132167458534241,0.28066909313201904,78,0.46153846153846156,0.3132167458534241
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,otc-category,ReLU-36,36,0.4155522584915161,0.36907899379730225,78,0.46153846153846156,0.4155522584915161
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,otc-streams,ReLU-36,36,0.29150834679603577,0.2684784233570099,78,0.46153846153846156,0.29150834679603577
sub-01,ResNet50-JigSaw-Goyal19_selfsupervised,wrsa,v-objects,ReLU-36,36,0.5374467372894287,0.4320808947086334,78,0.46153846153846156,0.5374467372894287
sub-01,ResNet50-JigSaw-P100_selfsupervised,crsa,EBA,Conv2d-42,43,0.14408020675182343,0.21502208709716797,78,0.5512820512820513,0.14408020675182343
