model,eval_type,mean,ci_lo,ci_hi,n_subjects,panel,group_label,group_color,x,x_start,x_end,mean_group,ci_lo_group,ci_hi_group,deepnsd_model,model_string,model_display_name,train_type,train_data,architecture,model_class,task_cluster,compare_architecture,compare_goal_slip,compare_goal_taskonomy_tasks,compare_goal_taskonomy_cluster,compare_diet_ipcl,compare_goal_selfsupervised,compare_goal_contrastive,compare_diet_imagenetsize
vgg16_classification,crsa,0.3499964773654938,0.34663793444633484,0.3533550202846527,2,Fig2 architecture,Convolutional,#e69f00,0.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,vgg16,vgg16_classification,VGG16,classification,imagenet,vgg16,Convolutional,Semantic,Convolutional,,,,,,,
squeezenet1_0_classification,crsa,0.31397564709186554,0.28730419278144836,0.3406471014022827,2,Fig2 architecture,Convolutional,#e69f00,1.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,squeezenet1_0,squeezenet1_0_classification,SqueezeNet1.0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,Convolutional,,,,,,,
regnetx_064_classification,crsa,0.3035910427570343,0.29471027851104736,0.31247180700302124,2,Fig2 architecture,Convolutional,#e69f00,2.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,regnetx_064,regnetx_064_classification,RegNetX-64,classification,imagenet,regnetx_064,Convolutional,Semantic,Convolutional,,,,,,,
densenet121_classification,crsa,0.2825144976377487,0.248460590839386,0.31656840443611145,2,Fig2 architecture,Convolutional,#e69f00,3.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,densenet121,densenet121_classification,DenseNet121,classification,imagenet,densenet121,Convolutional,Semantic,Convolutional,,,,,,,
dla34_classification,crsa,0.22102684527635574,0.205401211977005,0.23665247857570648,2,Fig2 architecture,Convolutional,#e69f00,4.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,dla34,dla34_classification,DLA34,classification,imagenet,dla34,Convolutional,Semantic,Convolutional,,,,,,,
nf_resnet50_classification,crsa,0.2903148829936981,0.2878786027431488,0.29275116324424744,2,Fig2 architecture,Convolutional,#e69f00,5.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,nf_resnet50,nf_resnet50_classification,NF-ResNet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,Convolutional,,,,,,,
alexnet_classification,crsa,0.2715224474668503,0.2695203125476837,0.27352458238601685,2,Fig2 architecture,Convolutional,#e69f00,6.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,alexnet,alexnet_classification,AlexNet,classification,imagenet,alexnet,Convolutional,Semantic,Convolutional,,,,,,,
resnet18_classification,crsa,0.28129884600639343,0.2682042717933655,0.2943934202194214,2,Fig2 architecture,Convolutional,#e69f00,7.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,resnet18,resnet18_classification,ResNet18,classification,imagenet,resnet18,Convolutional,Semantic,Convolutional,,,,,,,
hardcorenas_a_classification,crsa,0.26677343249320984,0.25227123498916626,0.2812756299972534,2,Fig2 architecture,Convolutional,#e69f00,8.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,hardcorenas_a,hardcorenas_a_classification,HardCoreNAS-A,classification,imagenet,hardcorenas_a,Convolutional,Semantic,Convolutional,,,,,,,
nfnet_l0_classification,crsa,0.3407150059938431,0.3305594325065613,0.3508705794811249,2,Fig2 architecture,Convolutional,#e69f00,9.0,-0.38,32.38,0.27171980476740637,0.2513031172312119,0.28906756712857523,nfnet_l0,nfnet_l0_classification,NF-Net-L0,classification,imagenet,nfnet_l0,Convolutional,Semantic,Convolutional,,,,,,,
