image_id,participant_pool,union_index,image_path
shared_12rep_LAION_cluster_1181_i1.jpg,"p01,p02,p03,p04,p05",30,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1181_i1.jpg
shared_12rep_LAION_cluster_1185_i3.jpg,"p01,p02,p03,p04,p05",31,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1185_i3.jpg
shared_12rep_LAION_cluster_118_i0.jpg,"p01,p02,p03,p04,p05",32,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_118_i0.jpg
shared_12rep_LAION_cluster_1197_i0.jpg,"p01,p02,p03,p04,p05",33,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1197_i0.jpg
shared_12rep_LAION_cluster_1202_i7.jpg,"p01,p02,p03,p04,p05",34,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1202_i7.jpg
shared_12rep_LAION_cluster_1206_i3.jpg,"p01,p02,p03,p04,p05",35,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1206_i3.jpg
shared_12rep_LAION_cluster_1212_i0.jpg,"p01,p02,p03,p04,p05",36,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1212_i0.jpg
shared_12rep_LAION_cluster_1213_i4.jpg,"p01,p02,p03,p04,p05",37,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1213_i4.jpg
shared_12rep_LAION_cluster_1224_i8.jpg,"p01,p02,p03,p04,p05",38,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1224_i8.jpg
shared_12rep_LAION_cluster_1227_i5.jpg,"p01,p02,p03,p04,p05",39,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1227_i5.jpg
shared_12rep_LAION_cluster_1228_i3.jpg,"p01,p02,p03,p04,p05",40,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1228_i3.jpg
shared_12rep_LAION_cluster_1230_i1.jpg,"p01,p02,p03,p04,p05",41,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1230_i1.jpg
shared_12rep_LAION_cluster_1240_i5.jpg,"p01,p02,p03,p04,p05",42,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1240_i5.jpg
shared_12rep_LAION_cluster_1241_i2.jpg,"p01,p02,p03,p04,p05",43,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1241_i2.jpg
shared_12rep_LAION_cluster_1242_i3.jpg,"p01,p02,p03,p04,p05",44,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1242_i3.jpg
shared_12rep_LAION_cluster_1247_i1.jpg,"p01,p02,p03,p04,p05",45,/ptmp/rothj/conwell_replication/stimuli/image_sets/deepvision_shared/shared_12rep_LAION_cluster_1247_i1.jpg
