region,comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
EBA,architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.2254988990385424,0.22624151408672333,0.061730375537843774,0.004805703217890568
EBA,architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.16362143724801995,0.14639399945735931,0.08216168177723385,0.008018159123997668
EBA,architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.4570384648713199,0.45660290122032166,0.05709815265246131,0.00444508515535146
EBA,architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.4720296561717987,0.4717428386211395,0.03742357430671911,0.0036521668895922034
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.08838202059268951,0.09936025738716125,0.033082128229182474,0.01479477751216335
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,0.06911521404981613,0.08181212097406387,0.030034010895908524,0.013431618000044164
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.11524283513426781,0.1227174773812294,0.03259140419136553,0.014575319050812979
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.11250550597906113,0.11806352436542511,0.02159800476609433,0.009658921367070273
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.08062298819422722,0.07701761275529861,0.024083307466347674,0.010770382523556325
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.07672214657068252,0.08056369423866272,0.0121873356893692,0.005450342213207758
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.09594430178403854,0.09613355249166489,0.015802802167989453,0.007067227976521094
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.08300992101430893,0.07828281074762344,0.01585953975526781,0.007092601796927839
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.17213623970746994,0.19178545475006104,0.060939267517458685,0.027252868933616493
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.029324837401509284,0.030017495155334473,0.0079545125679793,0.0035573661659756258
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.04844120740890503,0.04980654641985893,0.008863565575610301,0.003963907030018337
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.15454335510730743,0.17339178919792175,0.052140493152683785,0.02331793741395265
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.11138664316385985,0.13899393379688263,0.06251884428261267,0.0279592771381292
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.07581885531544685,0.08482185751199722,0.02800052780820007,0.012522216717001709
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.16711660623550414,0.1642078310251236,0.029592736672439696,0.013234274167965217
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,5,5,1,0.03765095127746463,0.03833629935979843,0.024939286363893406,0.011153187923999842
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,normal,5,5,1,0.06764328554272651,0.07976589351892471,0.024005775774696224,0.010735709296967686
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,5,5,1,0.14364413619041444,0.1760069578886032,0.0704081899187812,0.03148749976622203
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,5,5,1,0.19692154973745346,0.2036261260509491,0.061357836647147695,0.027440058739070003
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,reshading,5,5,1,0.0975841648876667,0.10141195356845856,0.028465124803583906,0.012729990809765793
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,5,5,1,0.013425119873136281,0.011516881175339222,0.025378744288544697,0.011349719482554095
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,5,5,1,0.08036859184503556,0.0901593565940857,0.017790955010334626,0.007956356957549739
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,5,5,1,0.1049162656068802,0.1005258560180664,0.01424925624282311,0.006372461117553145
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,5,5,1,0.09733414109796286,0.12750300765037537,0.052189102340670604,0.02333967610368657
EBA,taskonomy_tasks,Taskonomy Encoders,crsa,vanishing_point,5,5,1,0.02831866443157196,0.01043624710291624,0.03039811226446128,0.013594449082201096
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,denoising,5,5,1,0.17015923857688903,0.20802488923072815,0.06253237512876528,0.027965328316487265
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,autoencoding,5,5,1,0.03783803693950176,0.0351947620511055,0.015687559186363643,0.007015689748352079
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,class_object,5,5,1,0.2989802539348602,0.3001905679702759,0.048013357033878885,0.02147222603114417
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,class_scene,5,5,1,0.30359850227832796,0.32567504048347473,0.04798177405738839,0.021458101694671265
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,curvature,5,5,1,0.014867107383906841,0.012717893347144127,0.028940830566636568,0.012942732894460624
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,depth_euclidean,5,5,1,0.2745761007070541,0.28536471724510193,0.03450103445710342,0.015429331668029157
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,depth_zbuffer,5,5,1,0.29654411375522616,0.29532867670059204,0.054763246198900606,0.024490868233859743
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,edge_occlusion,5,5,1,0.2087927609682083,0.18992555141448975,0.0613951861026188,0.027456761923341202
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,edge_texture,5,5,1,0.2236248731613159,0.25889134407043457,0.07142291758071698,0.0319412997723696
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,egomotion,5,5,1,0.2248188227415085,0.23050737380981445,0.06899164927616068,0.030854003532263887
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,fixated_pose,5,5,1,0.2038520783185959,0.24211932718753815,0.08990152536964324,0.04020518440148884
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,inpainting,5,5,1,0.23193814754486083,0.23978017270565033,0.07101135556046545,0.03175724364152168
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,jigsaw,5,5,1,0.22199960947036743,0.21934513747692108,0.08634528477501409,0.03861478525870182
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints2d,5,5,1,0.21495359390974045,0.2309989035129547,0.08284629962869164,0.037049991530814015
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints3d,5,5,1,0.32971588969230653,0.343938410282135,0.05578196333663996,0.02494645238782559
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,nonfixated_pose,5,5,1,0.1889583006501198,0.23980571329593658,0.0822989143480592,0.03680519339133863
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,normal,5,5,1,0.29285948276519774,0.30543258786201477,0.04561025836541932,0.020397527635281208
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,point_matching,5,5,1,0.21535488963127136,0.24175938963890076,0.08427421772113775,0.03768857591501628
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,random_weights,5,5,1,0.1729155033826828,0.19880221784114838,0.06804200935994217,0.03042931165090153
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,reshading,5,5,1,0.30835098326206206,0.30362194776535034,0.05405638611453799,0.024174750794016535
EBA,taskonomy_tasks,Taskonomy Encoders,wrsa,room_layout,5,5,1,0.2620518535375595,0.25876176357269287,0.055104490653617555,0.024643477393398134
