region,model,score,rank
EBA,class_object_taskonomy,0.2989802539348602,96
EBA,depth_zbuffer_taskonomy,0.29654411375522616,97
EBA,segment_unsup25d_taskonomy,0.2947580575942993,98
EBA,normal_taskonomy,0.29285948276519774,99
EBA,depth_euclidean_taskonomy,0.2745761007070541,100
EBA,segment_semantic_taskonomy,0.2738522797822952,101
EBA,segment_unsup2d_taskonomy,0.2671090379357338,102
EBA,room_layout_taskonomy,0.2620518535375595,103
EBA,inpainting_taskonomy,0.23193814754486083,104
EBA,egomotion_taskonomy,0.2248188227415085,105
EBA,edge_texture_taskonomy,0.2236248731613159,106
EBA,jigsaw_taskonomy,0.22199960947036743,107
EBA,point_matching_taskonomy,0.21535488963127136,108
EBA,keypoints2d_taskonomy,0.21495359390974045,109
EBA,edge_occlusion_taskonomy,0.2087927609682083,110
EBA,fixated_pose_taskonomy,0.2038520783185959,111
EBA,nonfixated_pose_taskonomy,0.1889583006501198,112
EBA,random_weights_taskonomy,0.1729155033826828,113
EBA,denoising_taskonomy,0.17015923857688903,114
EBA,vanishing_point_taskonomy,0.11495751887559891,115
EBA,autoencoding_taskonomy,0.03783803693950176,116
EBA,curvature_taskonomy,0.014867107383906841,117
FBA,resmlp_big_24_224_in22ft1k_classification,0.43297643661499025,1
FBA,skresnext50_32x4d_classification,0.43201918005943296,2
FBA,vit_large_patch16_224_classification,0.4318503439426422,3
FBA,ViT/B/SLIP_slip,0.43154520988464357,4
FBA,pit_b_224_classification,0.43145190477371215,5
FBA,ViT/L/SLIP_slip,0.4303555488586426,6
FBA,jx_nest_tiny_classification,0.4295594573020935,7
FBA,vit_large_patch16_224_in21k_classification,0.4272114813327789,8
FBA,convnext_large_classification,0.4226717233657837,9
FBA,ViT/B/CLIP_slip,0.42211413383483887,10
FBA,mixer_l16_224_in21k_classification,0.4213155031204224,11
FBA,mixer_l16_224_classification,0.4213155031204224,12
FBA,ViT/L/SimCLR_slip,0.4210578680038452,13
FBA,mixer_b16_224_classification,0.42082281708717345,14
FBA,mixer_b16_224_in21k_classification,0.42082281708717345,15
FBA,levit_128_classification,0.4199658691883087,16
FBA,ViT/L/CLIP_slip,0.4197040259838104,17
FBA,swin_tiny_patch4_window7_224_classification,0.4189905524253845,18
FBA,vit_base_patch16_224_in21k_classification,0.41772555708885195,19
FBA,convnext_base_classification,0.41704038977622987,20
FBA,ViT/S/CLIP_slip,0.4152709782123566,21
FBA,crossvit_base_240_classification,0.4152305483818054,22
FBA,ViT/S/SLIP_slip,0.41426695585250856,23
FBA,swin_large_patch4_window7_224_classification,0.41378543376922605,24
FBA,swin_base_patch4_window7_224_classification,0.41334574222564696,25
FBA,swin_large_patch4_window7_224_in22k_classification,0.41211533546447754,26
FBA,resmlp_big_24_224_classification,0.4109574258327484,27
FBA,convnext_base_in22k_classification,0.4106601119041443,28
FBA,eca_nfnet_l0_classification,0.41051383018493653,29
FBA,swin_base_patch4_window7_224_in22k_classification,0.4101070165634155,30
FBA,ResNet50/BarlowTwins/BS2048_selfsupervised,0.40779370069503784,31
FBA,deit_base_patch16_224_classification,0.4061674833297729,32
FBA,vit_small_patch16_224_in21k_classification,0.4059291899204254,33
FBA,resnet101_classification,0.40539467334747314,34
FBA,mobilenet_v2_classification,0.40525699257850645,35
FBA,tnt_s_patch16_224_classification,0.40472553968429564,36
FBA,coat_lite_tiny_classification,0.4042350292205811,37
