model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,2,2,0,0.3165345937013626,0.3165345937013626,0.010899648070335388,0.01541443012616204,0.3465295881032944,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,2,2,0,0.36072374415507474,0.36072374415507474,0.00929130787989818,0.013139893615936015,0.4639860594810188,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,2,2,0,0.458522692322731,0.458522692322731,0.02229414880275726,0.03152868759842322,0.4101392775774002,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,2,2,0,0.18443816155195236,0.18443816155195236,0.012381069362163542,0.017509476208653688,0.23991049826145172,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,2,2,0,0.339823133384364,0.339823133384364,0.005760509122769291,0.008146590127594293,0.44131543601389556,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,2,2,0,0.3930027484893799,0.3930027484893799,0.007607519626617431,0.010758657431981875,0.37281520664691925,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,2,2,0,0.31828054785728455,0.31828054785728455,0.011581510305404663,0.016378728946667042,0.38224755227565765,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,2,2,0,0.36503268978775777,0.36503268978775777,0.014358960203266878,0.020306636261035554,0.4602476594331014,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,2,2,0,0.40384790301322937,0.40384790301322937,0.07253482937812805,0.1025797394509671,0.4074130356311798,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,2,2,0,0.1283486783504486,0.1283486783504486,0.0526791363954544,0.07449954914455374,0.1825423166155815,4.5,0.375,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,2,2,0,0.294504855441478,0.294504855441478,0.012423633359747055,0.017569670791305107,0.4000424897327401,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,2,2,0,0.30194781720638275,0.30194781720638275,0.024937883019447327,0.03526749238297612,0.3572733402252197,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,2,2,0,0.23372866213321686,0.23372866213321686,0.012561216950416563,0.017764243371189915,0.24325917661190033,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,2,2,0,0.30348552379235383,0.30348552379235383,0.009470245255102178,0.01339294927876497,0.4000489559813959,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
