model,eval_type,n_subjects_total,n_subjects_test,n_nan_test,mean_test_score,median_test_score,sem_test_score,std_test_score,mean_train_score,median_selected_layer_index,median_selected_layer_fraction,model_class,train_type,train_data,model_source,task_cluster,comparison_group
ResNet50/BarlowTwins/BS2048_selfsupervised,crsa,5,5,0,0.27329873442649844,0.2558102309703827,0.018253636375397803,0.04081637177195235,0.30674428343772886,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,srpr,5,5,0,0.356099551670014,0.3566159236803363,0.004090884459807087,0.009147495740226155,0.46208107686513433,9.0,0.75,,,,,,
ResNet50/BarlowTwins/BS2048_selfsupervised,wrsa,5,5,0,0.4210711896419525,0.43622854351997375,0.02240998526257169,0.05011025042187878,0.38519617915153503,9.0,0.75,,,,,,
ResNet50/ClusterFit/16K/RotNet_selfsupervised,crsa,5,5,0,0.1611034393310547,0.15635961294174194,0.011026170669816069,0.02465526714922312,0.23017188906669617,12.0,1.0,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,srpr,5,5,0,0.3357224252275004,0.3368282916686619,0.0036717250796525994,0.008210226872794043,0.4415635826204743,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/ClusterFit/16K/RotNet_selfsupervised,wrsa,5,5,0,0.33058821558952334,0.31526970863342285,0.027480794733435617,0.06144892509968026,0.3524589896202087,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,crsa,5,5,0,0.3037949025630951,0.3066990375518799,0.010246489258723894,0.02291184651322806,0.35281593203544614,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,srpr,5,5,0,0.36302169602181567,0.3650024256782705,0.005105486069843445,0.011416213910348177,0.46026432312765475,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/DeepClusterV2/2x224+6x96_selfsupervised,wrsa,5,5,0,0.3600747883319855,0.3313130736351013,0.031256405225859346,0.06989144681730117,0.38492711186408995,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/Goyal19_selfsupervised,crsa,5,5,0,0.08923070542514325,0.0756695419549942,0.029808487671550404,0.06665380474005113,0.16316003501415252,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,srpr,5,5,0,0.2892932854571774,0.2820812220817309,0.0058443463206512055,0.01306835565702688,0.400480702884024,3.0,0.25,,,,,,
ResNet50/JigSaw/Goyal19_selfsupervised,wrsa,5,5,0,0.3032056987285614,0.3268857002258301,0.019844249529486442,0.044373090910399905,0.33389294147491455,3.0,0.25,,,,,,
ResNet50/JigSaw/P100_selfsupervised,crsa,5,5,0,0.22957954704761505,0.23161344230175018,0.008474838340540806,0.01895031462777076,0.23152583539485933,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,srpr,5,5,0,0.301782652223928,0.30863339415547314,0.007751662005105393,0.017333243182017986,0.40113388169588016,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/JigSaw/P100_selfsupervised,wrsa,5,5,0,0.29096498191356657,0.28807660937309265,0.020778939543780895,0.04646312132025256,0.3318506062030792,11.0,0.9166666666666666,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/MoCoV2/BS256_selfsupervised,crsa,5,5,0,0.2486814320087433,0.2471272349357605,0.011455858374962928,0.02561607806702738,0.264172887802124,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,srpr,5,5,0,0.3479826647974072,0.348152691590341,0.005543023247249978,0.012394576781712576,0.455821247692171,9.0,0.75,,,,,,
ResNet50/MoCoV2/BS256_selfsupervised,wrsa,5,5,0,0.3253779232501984,0.3692914545536041,0.03426185518785483,0.07661183723529723,0.3815236151218414,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,crsa,5,5,0,0.289684334397316,0.275677889585495,0.019328096295922352,0.04321893719334427,0.3060279846191406,12.0,1.0,,,,,,
ResNet50/PIRL_selfsupervised,srpr,5,5,0,0.3172667057016771,0.3186844704813609,0.005366993940251104,0.012000963285230917,0.4484245047818006,9.0,0.75,,,,,,
ResNet50/PIRL_selfsupervised,wrsa,5,5,0,0.3350877344608307,0.33297401666641235,0.02184771151412751,0.04885296809839397,0.37806169390678407,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,crsa,5,5,0,0.16780263036489487,0.17303061485290527,0.02797701964911655,0.06255851774327192,0.187814462184906,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,srpr,5,5,0,0.2922806364613282,0.28842034677038497,0.004754399874276381,0.010631161311098442,0.4127506326587775,9.0,0.75,,,,,,
ResNet50/RotNet_selfsupervised,wrsa,5,5,0,0.19230024814605712,0.16873671114444733,0.025045206072740564,0.05600278328913844,0.33256071209907534,0.0,0.0,,,,,,
ResNet50/SimCLR_selfsupervised,crsa,5,5,0,0.28358347713947296,0.3065498173236847,0.027705895404920307,0.06195226550290087,0.29796082973480226,5.0,0.4166666666666667,,,,,,
ResNet50/SimCLR_selfsupervised,srpr,5,5,0,0.3542393674933251,0.3462092033369412,0.005574931634363068,0.012465926104349821,0.4620612143706257,9.0,0.75,,,,,,
ResNet50/SimCLR_selfsupervised,wrsa,5,5,0,0.3498536944389343,0.3382634222507477,0.02982316096216529,0.06668661521531963,0.3876235902309418,9.0,0.75,,,,,,
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,crsa,5,5,0,0.18407846987247467,0.19738760590553284,0.012830304321066905,0.028689432633914887,0.2640539199113846,5.0,0.4166666666666667,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,srpr,5,5,0,0.3549211575730111,0.35780652158293036,0.005612632279362119,0.012550227309363286,0.4597078165331155,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ResNet50/SwAV/BS4096/2x224+6x96_selfsupervised,wrsa,5,5,0,0.3643819153308868,0.39817413687705994,0.042244606419687865,0.09446181163714608,0.38080105781555174,9.0,0.75,Convolutional,selfsupervised,imagenet,vissl,Self-Supervised,task_vissl
ViT/B/CLIP_slip,crsa,5,5,0,-0.012923333514481782,0.0047388821840286255,0.013811310892647229,0.03088303001434251,0.04391467710956931,10.0,0.8333333333333334,,,,,,
ViT/B/CLIP_slip,srpr,5,5,0,0.34967844786418933,0.349027221477957,0.0036063940811043144,0.00806414231900214,0.4431678385839694,7.0,0.5833333333333334,,,,,,
ViT/B/CLIP_slip,wrsa,5,5,0,0.3413854479789734,0.33695468306541443,0.02026772072711239,0.04532000129480477,0.3553437769412994,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,crsa,5,5,0,0.03527238592505455,0.025037342682480812,0.012027805535288299,0.026894990797052883,0.0967199444770813,7.0,0.5833333333333334,,,,,,
ViT/B/SLIP_slip,srpr,5,5,0,0.33057407110484605,0.3311967275094756,0.006928814520182791,0.015493300270616307,0.4409348069714107,6.0,0.5,,,,,,
ViT/B/SLIP_slip,wrsa,5,5,0,0.3890482485294342,0.3756253123283386,0.020548864102978504,0.045948656994665174,0.36354255080223086,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,crsa,5,5,0,0.09171760082244873,0.09918371587991714,0.008450267933543162,0.018895373527489188,0.098881796002388,2.0,0.16666666666666666,,,,,,
ViT/B/SimCLR_slip,srpr,5,5,0,0.3310452219121529,0.3291841997410232,0.0033954426564904816,0.00759244059361518,0.4381287520378204,6.0,0.5,,,,,,
ViT/B/SimCLR_slip,wrsa,5,5,0,0.39059884548187257,0.3869464099407196,0.016742084506843065,0.037436439042347135,0.35208492279052733,6.0,0.5,,,,,,
ViT/L/CLIP_slip,crsa,5,5,0,0.1016567513346672,0.10671856254339218,0.019858034454398706,0.04440391493956846,0.11960770934820175,7.0,0.6363636363636364,,,,,,
ViT/L/CLIP_slip,srpr,5,5,0,0.31965833631549206,0.31675361839398103,0.005858564611162765,0.013100148721134566,0.42518412312779164,2.0,0.18181818181818182,,,,,,
ViT/L/CLIP_slip,wrsa,5,5,0,0.33733202815055846,0.35421615839004517,0.0169988332120435,0.03801054660031036,0.3509001970291138,4.0,0.36363636363636365,,,,,,
ViT/L/SLIP_slip,crsa,5,5,0,0.18642327785491944,0.18340639770030975,0.01724792065729725,0.03856752306023951,0.227552330493927,11.0,1.0,,,,,,
ViT/L/SLIP_slip,srpr,5,5,0,0.3300585084222448,0.33771905373215855,0.006464919111448319,0.014455998602235984,0.440877280591727,5.0,0.45454545454545453,,,,,,
ViT/L/SLIP_slip,wrsa,5,5,0,0.358675879240036,0.35242897272109985,0.016600814896146444,0.03712055058967457,0.3680154025554657,11.0,1.0,,,,,,
ViT/L/SimCLR_slip,crsa,5,5,0,0.12831403762102128,0.11416289210319519,0.01574315053839089,0.03520275478385444,0.17455454170703888,9.0,0.8181818181818182,,,,,,
ViT/L/SimCLR_slip,srpr,5,5,0,0.32340324353044164,0.32703844467732174,0.005797453905363909,0.012963501028815338,0.4337290166147887,8.0,0.7272727272727273,,,,,,
ViT/L/SimCLR_slip,wrsa,5,5,0,0.39649723172187806,0.40371525287628174,0.02388859065477386,0.05341651259074057,0.34509552717208863,0.0,0.0,,,,,,
ViT/S/CLIP_slip,crsa,5,5,0,0.012013768777251244,0.03564794361591339,0.016520328723323152,0.036940578035992884,0.10579160153865814,7.0,0.5833333333333334,,,,,,
ViT/S/CLIP_slip,srpr,5,5,0,0.3344691906240614,0.3357240599483781,0.004296883962113843,0.009608124630715174,0.439221425763278,8.0,0.6666666666666666,,,,,,
ViT/S/CLIP_slip,wrsa,5,5,0,0.3456490635871887,0.3369973599910736,0.016788067788633794,0.037539260786259736,0.35540340542793275,8.0,0.6666666666666666,,,,,,
