comparison_id,comparison,eval_type,level,n_obs,n_subjects,n_models,mean,median,std,sem
architecture,CNNs versus Transformers,crsa,Convolutional,165,5,33,0.2098393350071979,0.2097369790077209,0.05934985834537599,0.004620380205801116
architecture,CNNs versus Transformers,crsa,Transformer,105,5,21,0.15892227320100313,0.1509591773152351,0.05651630015266443,0.0055154261441766415
architecture,CNNs versus Transformers,wrsa,Convolutional,165,5,33,0.33879016672571494,0.3332573533058166,0.05540904337947122,0.004313588176791837
architecture,CNNs versus Transformers,wrsa,Transformer,105,5,21,0.3708720668103723,0.3633428186178207,0.04755395617938138,0.004640790930444964
taskonomy_tasks,Taskonomy Encoders,crsa,denoising,5,5,1,0.12273753657937045,0.1241583958268165,0.013964021025639161,0.006244900050513099
taskonomy_tasks,Taskonomy Encoders,crsa,autoencoding,5,5,1,0.0574338502064347,0.0552884671837091,0.005218826870746119,0.0023339303291581657
taskonomy_tasks,Taskonomy Encoders,crsa,class_object,5,5,1,0.1416021667793393,0.1355066157877445,0.019960057983443396,0.008926409297163361
taskonomy_tasks,Taskonomy Encoders,crsa,class_scene,5,5,1,0.11381850389763708,0.1088934148661792,0.018791744637042297,0.008403923684848737
taskonomy_tasks,Taskonomy Encoders,crsa,curvature,5,5,1,0.12511255528777834,0.1344601009041071,0.0280882485067301,0.012561446605991091
taskonomy_tasks,Taskonomy Encoders,crsa,depth_euclidean,5,5,1,0.10434023195877666,0.0981716768816113,0.02434526132346977,0.010887531849854979
taskonomy_tasks,Taskonomy Encoders,crsa,depth_zbuffer,5,5,1,0.1371914405073039,0.1313033901154995,0.02004777052258611,0.008965635537163804
taskonomy_tasks,Taskonomy Encoders,crsa,edge_occlusion,5,5,1,0.06529176352545615,0.058132017403841,0.02441048786382782,0.010916702045490527
taskonomy_tasks,Taskonomy Encoders,crsa,edge_texture,5,5,1,0.24098028481006617,0.2388677239418029,0.040889248314687085,0.018286227756101805
taskonomy_tasks,Taskonomy Encoders,crsa,egomotion,5,5,1,0.11086439028382297,0.105129574239254,0.019001404792977194,0.008497686557017464
taskonomy_tasks,Taskonomy Encoders,crsa,fixated_pose,5,5,1,0.10679280780255793,0.1028406947851181,0.021938665371630604,0.009811269421317343
taskonomy_tasks,Taskonomy Encoders,crsa,inpainting,5,5,1,0.06134730100631711,0.0607606571167707,0.008475331533070722,0.0037902834879587283
taskonomy_tasks,Taskonomy Encoders,crsa,jigsaw,5,5,1,0.153643078058958,0.1488425567746162,0.022411714945725265,0.01002282362219794
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints2d,5,5,1,0.18680263429880137,0.1962906986474991,0.024437360669302778,0.010928719929448154
taskonomy_tasks,Taskonomy Encoders,crsa,keypoints3d,5,5,1,0.148089285492897,0.1408284164965152,0.02359621142452272,0.01055254655133799
taskonomy_tasks,Taskonomy Encoders,crsa,nonfixated_pose,5,5,1,0.1316946721822023,0.1326219514012336,0.015239011382550415,0.006815093072255156
taskonomy_tasks,Taskonomy Encoders,crsa,normal,5,5,1,0.11422415643930431,0.1064311437308788,0.020859852280783204,0.009328809540087054
taskonomy_tasks,Taskonomy Encoders,crsa,point_matching,5,5,1,0.18339187130331988,0.1706592485308647,0.027695152493654163,0.012385648724606704
taskonomy_tasks,Taskonomy Encoders,crsa,random_weights,5,5,1,0.09505411263555286,0.102201952971518,0.011635271730863827,0.005203451705378631
taskonomy_tasks,Taskonomy Encoders,crsa,reshading,5,5,1,0.15750871993601318,0.1522536497563123,0.026377016939560138,0.011796160584103986
taskonomy_tasks,Taskonomy Encoders,crsa,room_layout,5,5,1,0.08054443851113316,0.0800606362521648,0.012563836442181375,0.005618718468581332
taskonomy_tasks,Taskonomy Encoders,crsa,segment_semantic,5,5,1,0.1019622769579291,0.0993074968457222,0.02085025578284979,0.009324517855742044
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup25d,5,5,1,0.12634790852665898,0.1220806822180748,0.018961516489792676,0.008479847965531924
taskonomy_tasks,Taskonomy Encoders,crsa,segment_unsup2d,5,5,1,0.22502283990383143,0.2296846836805343,0.02626048346925739,0.011744045231853807
taskonomy_tasks,Taskonomy Encoders,crsa,vanishing_point,5,5,1,0.0322514839004725,0.0289667509496212,0.007850837369423967,0.0035110012076655234
taskonomy_tasks,Taskonomy Encoders,wrsa,denoising,5,5,1,0.1762283264100551,0.1882923930883407,0.04610903204491604,0.020620586005829677
taskonomy_tasks,Taskonomy Encoders,wrsa,autoencoding,5,5,1,-0.04280593787319954,-0.0390418145805597,0.01875499985983558,0.008387490920918277
taskonomy_tasks,Taskonomy Encoders,wrsa,class_object,5,5,1,0.26585407286882395,0.2233835220336914,0.08988994307451945,0.04020000464164238
taskonomy_tasks,Taskonomy Encoders,wrsa,class_scene,5,5,1,0.2671922242641449,0.2442310541868209,0.0725178447125869,0.0324309660718236
taskonomy_tasks,Taskonomy Encoders,wrsa,curvature,5,5,1,0.05497832220047708,0.0583375977352261,0.019613153398773654,0.008771268850557786
taskonomy_tasks,Taskonomy Encoders,wrsa,depth_euclidean,5,5,1,0.21797623544931408,0.217896282672882,0.05561300858398619,0.024870893525414488
taskonomy_tasks,Taskonomy Encoders,wrsa,depth_zbuffer,5,5,1,0.2362958541512489,0.2310070723295211,0.062021105788660345,0.027736681716630046
taskonomy_tasks,Taskonomy Encoders,wrsa,edge_occlusion,5,5,1,0.20878961466252802,0.2180246710777282,0.039807525977848236,0.017802466820511488
taskonomy_tasks,Taskonomy Encoders,wrsa,edge_texture,5,5,1,0.201902727112174,0.2544047057628631,0.10106219479742964,0.04519638750447565
taskonomy_tasks,Taskonomy Encoders,wrsa,egomotion,5,5,1,0.16716502483934162,0.1584743499755859,0.05875382834412743,0.026275510823164566
taskonomy_tasks,Taskonomy Encoders,wrsa,fixated_pose,5,5,1,0.19911257803440088,0.1944476038217544,0.0749856441233427,0.03353459951928038
taskonomy_tasks,Taskonomy Encoders,wrsa,inpainting,5,5,1,0.1261914904415607,0.1076237976551055,0.05662686457126164,0.0253243037068031
taskonomy_tasks,Taskonomy Encoders,wrsa,jigsaw,5,5,1,0.09752794869244094,0.0699973821640014,0.054178776299515605,0.024229485348694277
taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints2d,5,5,1,0.11407904668711122,0.1583717316389084,0.09653113292670755,0.04317003503383726
taskonomy_tasks,Taskonomy Encoders,wrsa,keypoints3d,5,5,1,0.2848844903707504,0.2948347926139831,0.04647928109889099,0.020786166416488276
taskonomy_tasks,Taskonomy Encoders,wrsa,nonfixated_pose,5,5,1,0.09687730526551598,0.0889627571217715,0.03562980065051181,0.015934131255862124
taskonomy_tasks,Taskonomy Encoders,wrsa,normal,5,5,1,0.21780255317687983,0.2276084601879119,0.04415147541229106,0.01974514006575867
taskonomy_tasks,Taskonomy Encoders,wrsa,point_matching,5,5,1,0.2114594510197639,0.1784285694360733,0.06788234571876572,0.030357907899860394
taskonomy_tasks,Taskonomy Encoders,wrsa,random_weights,5,5,1,0.07394504606723783,0.0594820365309715,0.058644296038890306,0.026226526487116073
taskonomy_tasks,Taskonomy Encoders,wrsa,reshading,5,5,1,0.2526182880997657,0.2483771175146102,0.05483795038588972,0.024524276961922047
taskonomy_tasks,Taskonomy Encoders,wrsa,room_layout,5,5,1,0.21117275640368463,0.2290838927030563,0.08497870575221389,0.03800363254038053
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_semantic,5,5,1,0.24425938367843628,0.2429887145757675,0.07853005299773634,0.03511970735591992
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_unsup25d,5,5,1,0.23616062358021733,0.2029603570699691,0.08914294074471564,0.03986593504388398
taskonomy_tasks,Taskonomy Encoders,wrsa,segment_unsup2d,5,5,1,0.30973814755678175,0.2884075492620468,0.09883044510239865,0.044198318699104906
taskonomy_tasks,Taskonomy Encoders,wrsa,vanishing_point,5,5,1,0.03718227719888086,0.0358855641447007,0.027181965486547242,0.012156144517994556
contrastive_self_supervised,Contrastive Self-Supervised Learning,crsa,Non-Contrastive,20,5,4,0.17013618137687442,0.1849436186254024,0.05130545166670594,0.011472247754308437
contrastive_self_supervised,Contrastive Self-Supervised Learning,crsa,Contrastive,30,5,6,0.25705039357145626,0.2576288402080536,0.047155790220418374,0.00860943000690155
contrastive_self_supervised,Contrastive Self-Supervised Learning,wrsa,Non-Contrastive,20,5,4,0.30855087980628015,0.3098565861582756,0.04362125457940224,0.00975400905033674
contrastive_self_supervised,Contrastive Self-Supervised Learning,wrsa,Contrastive,30,5,6,0.3947527411580086,0.386601310968399,0.051272072756263214,0.00936095693955048
language_alignment,Language Alignment,crsa,SimCLR,15,5,3,0.10901746970911814,0.0970073513686657,0.04047257979042632,0.010449975167091468
language_alignment,Language Alignment,crsa,CLIP,15,5,3,0.03199575848877428,0.0174882511608302,0.05951873884701137,0.015367672289449564
language_alignment,Language Alignment,crsa,SLIP,15,5,3,0.11449250577638544,0.1239834398031234,0.042301146585510506,0.010922109083410727
language_alignment,Language Alignment,wrsa,SimCLR,15,5,3,0.39834083517392477,0.3868127286434173,0.04372526227574923,0.011289814173501878
