option_key,model_name,train_type,train_data,model_source
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,vissl
ResNet50-NPID-32KNegative_selfsupervised,ResNet50-NPID-32KNegative,selfsupervised,imagenet,vissl
ResNet50-PIRL_selfsupervised,ResNet50-PIRL,selfsupervised,imagenet,vissl
ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR,selfsupervised,imagenet,vissl
ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-DeepClusterV2-2x224,selfsupervised,imagenet,vissl
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96,selfsupervised,imagenet,vissl
ResNet50-SwAV-BS4096-2x224_selfsupervised,ResNet50-SwAV-BS4096-2x224,selfsupervised,imagenet,vissl
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96,selfsupervised,imagenet,vissl
ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256,selfsupervised,imagenet,vissl
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,vissl
yolov5l_yolo,yolov5l,yolo,"coco,voc",yolo
yolov5m_yolo,yolov5m,yolo,"coco,voc",yolo
yolov5n_yolo,yolov5n,yolo,"coco,voc",yolo
yolov5s_yolo,yolov5s,yolo,"coco,voc",yolo
yolov5x_yolo,yolov5x,yolo,"coco,voc",yolo
dino_vits16_selfsupervised,dino_vits16,selfsupervised,imagenet,dino
dino_vits8_selfsupervised,dino_vits8,selfsupervised,imagenet,dino
dino_vitb16_selfsupervised,dino_vitb16,selfsupervised,imagenet,dino
dino_vitb8_selfsupervised,dino_vitb8,selfsupervised,imagenet,dino
dino_xcit_small_12_p16_selfsupervised,dino_xcit_small_12_p16,selfsupervised,imagenet,dino
dino_xcit_small_12_p8_selfsupervised,dino_xcit_small_12_p8,selfsupervised,imagenet,dino
dino_xcit_medium_24_p16_selfsupervised,dino_xcit_medium_24_p16,selfsupervised,imagenet,dino
dino_xcit_medium_24_p8_selfsupervised,dino_xcit_medium_24_p8,selfsupervised,imagenet,dino
dino_resnet50_selfsupervised,dino_resnet50,selfsupervised,imagenet,dino
DPT_Hybrid_monoculardepth,DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",midas
DPT_Large_monoculardepth,DPT_Large,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",midas
MiDaS_monoculardepth,MiDaS,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",midas
MiDaS_small_monoculardepth,MiDaS_small,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",midas
faster_rcnn_R_50_C4_3x_detection,faster_rcnn_R_50_C4_3x,detection,coco2017,detectron
faster_rcnn_R_50_DC5_3x_detection,faster_rcnn_R_50_DC5_3x,detection,coco2017,detectron
faster_rcnn_R_50_FPN_3x_detection,faster_rcnn_R_50_FPN_3x,detection,coco2017,detectron
faster_rcnn_R_101_C4_3x_detection,faster_rcnn_R_101_C4_3x,detection,coco2017,detectron
