metric,n_models,models_with_any_matching_our_layer,median_colin_layers_per_model,median_our_matching_layers,median_colin_range_test,median_colin_iqr_test,median_gap_our_best_to_colin_best,mean_gap_our_best_to_colin_best,p90_gap_our_best_to_colin_best,median_our_best_percentile,models_where_our_sample_contains_colin_best
crsa,118,118,81.0,11.0,0.2699683343167463,0.08604079084397175,0.014453824258525809,0.02297296513432687,0.05772832307217178,96.44381223328591,25
srpr,118,118,81.0,11.0,0.1417383215051711,0.041308287808523705,0.00477652639852158,0.006637978247837974,0.014389364756343207,94.24603174603175,19
wrsa,118,118,81.0,11.0,0.330955711162633,0.0854088818275613,0.005453838855722246,0.013132744311734851,0.03668473287854192,96.6471028971029,26
