metric,n_models,median_full_train_selected_test,median_our_train_selected_test,median_model_gap_full_minus_our,mean_model_gap_full_minus_our,p90_model_gap_full_minus_our,models_with_same_train_selected_layer_in_any_subject,median_our_selected_test_percentile,median_colin_layers_per_subject,median_our_layers_per_subject
crsa,118,0.3207179697160214,0.2913947613686755,0.013229054932915117,0.021464674397769428,0.06140189426962445,30,94.26830109708192,81.0,11.0
srpr,118,0.36409374166013153,0.3565549290065721,0.004150526490746667,0.005800847285508391,0.016276932309574763,39,92.20647773279353,81.0,11.0
wrsa,118,0.6627385509926536,0.6449163906091546,0.0051255991811659345,0.01187842480152178,0.033857464889070876,38,91.02635248702026,81.0,11.0
