split,family,effect,metric,conwell,split-half,split-half + OOD,shared-image pool,subject-image pool
random_agg,Self-supervised,Contrastive - Non-Contrastive,cRSA,"+0.06 contrastive advantage, p < 0.001",,,"+0.110 [+0.090, +0.131], p <0.001","+0.059 [+0.041, +0.078], p <0.001"
random_agg,Self-supervised,Contrastive - Non-Contrastive,veRSA,"+0.09 contrastive advantage, p < 0.001",,,"+0.079 [+0.063, +0.096], p <0.001","+0.050 [+0.036, +0.065], p <0.001"
random_agg,SLIP objective,CLIP - SimCLR,cRSA,"-0.05 [-0.06, -0.03], p < 0.001",,,"-0.050 [-0.089, -0.010], p 0.016","-0.051 [-0.078, -0.024], p <0.001"
random_agg,SLIP objective,CLIP - SimCLR,veRSA,"-0.02 [-0.04, -0.01], p = 0.005",,,"-0.018 [-0.032, -0.003], p 0.021","-0.020 [-0.031, -0.010], p <0.001"
random_agg,SLIP objective,SLIP - SimCLR,cRSA,No substantial effect reported,,,"+0.001 [-0.039, +0.041], p 0.957","+0.012 [-0.016, +0.039], p 0.393"
random_agg,SLIP objective,SLIP - SimCLR,veRSA,No substantial effect reported,,,"+0.008 [-0.007, +0.023], p 0.279","+0.007 [-0.003, +0.018], p 0.164"
random_agg,Input diet,ImageNet21K - ImageNet1K,cRSA,"0.00 [-0.03, 0.03], p = 0.957",,,"+0.011 [+0.003, +0.020], p 0.006","+0.012 [+0.004, +0.019], p 0.002"
random_agg,Input diet,ImageNet21K - ImageNet1K,veRSA,"+0.01 [0.00, 0.03], p = 0.147",,,"-0.012 [-0.020, -0.004], p 0.004","-0.009 [-0.015, -0.004], p <0.001"
random_agg,IPCL input,OpenImages - ImageNet,cRSA,"-0.02 [-0.03, -0.01], p = 0.002",,,"-0.037 [-0.052, -0.021], p <0.001","-0.023 [-0.032, -0.014], p <0.001"
random_agg,IPCL input,OpenImages - ImageNet,veRSA,"-0.04 [-0.07, -0.02], p < 0.001",,,"-0.006 [-0.067, +0.055], p 0.837","-0.018 [-0.046, +0.010], p 0.194"
random_agg,IPCL input,Places365 - ImageNet,cRSA,"-0.03 [-0.04, -0.02], p < 0.001",,,"-0.095 [-0.110, -0.079], p <0.001","-0.077 [-0.086, -0.068], p <0.001"
random_agg,IPCL input,Places365 - ImageNet,veRSA,"-0.07 [-0.09, -0.04], p < 0.001",,,"-0.047 [-0.108, +0.014], p 0.120","-0.059 [-0.087, -0.031], p <0.001"
random_agg,IPCL input,VGGFace2 - ImageNet,cRSA,"-0.17 [-0.18, -0.16], p < 0.001",,,"+0.016 [+0.001, +0.032], p 0.043","+0.001 [-0.008, +0.010], p 0.832"
random_agg,IPCL input,VGGFace2 - ImageNet,veRSA,"-0.27 [-0.30, -0.25], p < 0.001",,,"-0.058 [-0.119, +0.003], p 0.062","-0.119 [-0.147, -0.090], p <0.001"
cluster_k5_agg,Architecture,Transformer - CNN,cRSA,"-0.04 [-0.05, -0.03], p < 0.001",,,"-0.051 [-0.064, -0.037], p <0.001","-0.043 [-0.054, -0.032], p <0.001"
