feature_stem,deepnsd_model_string,feature_file,h5_exists,metric,nsd_consensus_layer,present_in_current_sampled_laion_h5,n_current_sampled_layers,subject_votes_for_consensus,n_subjects
reshading_taskonomy,reshading_taskonomy,reshading_taskonomy.h5,True,crsa,Conv2d-30,False,11,4,4
reshading_taskonomy,reshading_taskonomy,reshading_taskonomy.h5,True,srpr,BatchNorm2d-45,False,11,3,4
reshading_taskonomy,reshading_taskonomy,reshading_taskonomy.h5,True,wrsa,BatchNorm2d-38,False,11,1,4
room_layout_taskonomy,room_layout_taskonomy,room_layout_taskonomy.h5,True,crsa,BatchNorm2d-28,False,11,3,4
room_layout_taskonomy,room_layout_taskonomy,room_layout_taskonomy.h5,True,srpr,Conv2d-45,False,11,3,4
room_layout_taskonomy,room_layout_taskonomy,room_layout_taskonomy.h5,True,wrsa,BatchNorm2d-44,False,11,3,4
segment_semantic_taskonomy,segment_semantic_taskonomy,segment_semantic_taskonomy.h5,True,crsa,Conv2d-42,False,11,4,4
segment_semantic_taskonomy,segment_semantic_taskonomy,segment_semantic_taskonomy.h5,True,srpr,BatchNorm2d-45,False,11,2,4
segment_semantic_taskonomy,segment_semantic_taskonomy,segment_semantic_taskonomy.h5,True,wrsa,BatchNorm2d-44,False,11,2,4
segment_unsup25d_taskonomy,segment_unsup25d_taskonomy,segment_unsup25d_taskonomy.h5,True,crsa,Conv2d-39,False,11,4,4
segment_unsup25d_taskonomy,segment_unsup25d_taskonomy,segment_unsup25d_taskonomy.h5,True,srpr,BatchNorm2d-38,False,11,1,4
segment_unsup25d_taskonomy,segment_unsup25d_taskonomy,segment_unsup25d_taskonomy.h5,True,wrsa,BatchNorm2d-38,False,11,2,4
segment_unsup2d_taskonomy,segment_unsup2d_taskonomy,segment_unsup2d_taskonomy.h5,True,crsa,BatchNorm2d-33,True,11,4,4
segment_unsup2d_taskonomy,segment_unsup2d_taskonomy,segment_unsup2d_taskonomy.h5,True,srpr,ReLU-31,False,11,1,4
segment_unsup2d_taskonomy,segment_unsup2d_taskonomy,segment_unsup2d_taskonomy.h5,True,wrsa,BatchNorm2d-44,False,11,3,4
vanishing_point_taskonomy,vanishing_point_taskonomy,vanishing_point_taskonomy.h5,True,crsa,ReLU-28,False,11,3,4
vanishing_point_taskonomy,vanishing_point_taskonomy,vanishing_point_taskonomy.h5,True,srpr,ReLU-25,False,11,3,4
vanishing_point_taskonomy,vanishing_point_taskonomy,vanishing_point_taskonomy.h5,True,wrsa,ReLU-42,False,11,2,4
random_weights_taskonomy,random_weights_taskonomy,random_weights_taskonomy.h5,True,crsa,ReLU-25,False,11,4,4
random_weights_taskonomy,random_weights_taskonomy,random_weights_taskonomy.h5,True,srpr,ReLU-26,False,11,1,4
random_weights_taskonomy,random_weights_taskonomy,random_weights_taskonomy.h5,True,wrsa,Conv2d-46,False,11,2,4
ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100_selfsupervised.h5,True,crsa,BatchNorm2d-42,False,13,4,4
ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100_selfsupervised.h5,True,srpr,BatchNorm2d-42,False,13,4,4
ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100_selfsupervised,ResNet50-JigSaw-P100_selfsupervised.h5,True,wrsa,BatchNorm2d-42,False,13,3,4
ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised.h5,True,crsa,BatchNorm2d-39,True,13,4,4
ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised.h5,True,srpr,BatchNorm2d-39,True,13,4,4
ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised,ResNet50-JigSaw-Goyal19_selfsupervised.h5,True,wrsa,BatchNorm2d-40,False,13,3,4
ResNet50-RotNet_selfsupervised,ResNet50-RotNet_selfsupervised,ResNet50-RotNet_selfsupervised.h5,True,crsa,Conv2d-34,False,13,3,4
ResNet50-RotNet_selfsupervised,ResNet50-RotNet_selfsupervised,ResNet50-RotNet_selfsupervised.h5,True,srpr,Conv2d-49,True,13,3,4
ResNet50-RotNet_selfsupervised,ResNet50-RotNet_selfsupervised,ResNet50-RotNet_selfsupervised.h5,True,wrsa,ReLU-45,False,13,3,4
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised.h5,True,crsa,Conv2d-52,False,13,4,4
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised.h5,True,srpr,Conv2d-52,False,13,2,4
ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-ClusterFit-16K-RotNet_selfsupervised.h5,True,wrsa,Conv2d-51,False,13,2,4
ResNet50-PIRL_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-PIRL_selfsupervised.h5,True,crsa,AdaptiveAvgPool2d-1,True,13,4,4
ResNet50-PIRL_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-PIRL_selfsupervised.h5,True,srpr,AdaptiveAvgPool2d-1,True,13,1,4
ResNet50-PIRL_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-PIRL_selfsupervised.h5,True,wrsa,AdaptiveAvgPool2d-1,True,13,3,4
ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR_selfsupervised.h5,True,crsa,Conv2d-49,True,13,2,4
ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR_selfsupervised.h5,True,srpr,Conv2d-49,True,13,3,4
ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SimCLR_selfsupervised.h5,True,wrsa,AdaptiveAvgPool2d-1,True,13,3,4
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised.h5,True,crsa,BatchNorm2d-48,False,13,3,4
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised.h5,True,srpr,Conv2d-52,False,13,2,4
ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised,ResNet50-DeepClusterV2-2x224+6x96_selfsupervised.h5,True,wrsa,Conv2d-49,True,13,4,4
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised.h5,True,crsa,BatchNorm2d-48,False,13,3,4
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised.h5,True,srpr,Conv2d-52,False,13,2,4
ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised,ResNet50-SwAV-BS4096-2x224+6x96_selfsupervised.h5,True,wrsa,AdaptiveAvgPool2d-1,True,13,2,4
ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised.h5,True,crsa,AdaptiveAvgPool2d-1,True,13,4,4
ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised.h5,True,srpr,BatchNorm2d-49,False,13,2,4
ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised.h5,True,wrsa,AdaptiveAvgPool2d-1,True,13,4,4
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised.h5,True,crsa,Conv2d-49,True,13,4,4
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised.h5,True,srpr,BatchNorm2d-49,False,13,2,4
ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised,ResNet50-BarlowTwins-BS2048_selfsupervised.h5,True,wrsa,Conv2d-52,False,13,3,4
ViT-S-SimCLR_slip,ViT-S-SimCLR_slip,ViT-S-SimCLR_slip.h5,True,crsa,Linear-38,False,13,4,4
ViT-S-SimCLR_slip,ViT-S-SimCLR_slip,ViT-S-SimCLR_slip.h5,True,srpr,Identity-50,False,13,3,4
ViT-S-SimCLR_slip,ViT-S-SimCLR_slip,ViT-S-SimCLR_slip.h5,True,wrsa,Identity-50,False,13,4,4
ViT-S-CLIP_slip,ViT-S-CLIP_slip,ViT-S-CLIP_slip.h5,True,crsa,Linear-31,True,13,2,4
ViT-S-CLIP_slip,ViT-S-CLIP_slip,ViT-S-CLIP_slip.h5,True,srpr,Linear-31,True,13,3,4
ViT-S-CLIP_slip,ViT-S-CLIP_slip,ViT-S-CLIP_slip.h5,True,wrsa,Identity-50,False,13,3,4
ViT-S-SLIP_slip,ViT-S-SLIP_slip,ViT-S-SLIP_slip.h5,True,crsa,Linear-38,False,13,2,4
ViT-S-SLIP_slip,ViT-S-SLIP_slip,ViT-S-SLIP_slip.h5,True,srpr,Identity-50,False,13,3,4
ViT-S-SLIP_slip,ViT-S-SLIP_slip,ViT-S-SLIP_slip.h5,True,wrsa,Identity-50,False,13,4,4
ViT-B-SimCLR_slip,ViT-B-SimCLR_slip,ViT-B-SimCLR_slip.h5,True,crsa,Linear-38,False,13,4,4
ViT-B-SimCLR_slip,ViT-B-SimCLR_slip,ViT-B-SimCLR_slip.h5,True,srpr,Identity-50,False,13,2,4
ViT-B-SimCLR_slip,ViT-B-SimCLR_slip,ViT-B-SimCLR_slip.h5,True,wrsa,Identity-50,False,13,4,4
ViT-B-CLIP_slip,ViT-B-CLIP_slip,ViT-B-CLIP_slip.h5,True,crsa,Linear-26,False,13,4,4
ViT-B-CLIP_slip,ViT-B-CLIP_slip,ViT-B-CLIP_slip.h5,True,srpr,Linear-27,True,13,3,4
ViT-B-CLIP_slip,ViT-B-CLIP_slip,ViT-B-CLIP_slip.h5,True,wrsa,Linear-26,False,13,2,4
ViT-B-SLIP_slip,ViT-B-SLIP_slip,ViT-B-SLIP_slip.h5,True,crsa,Identity-50,False,13,4,4
ViT-B-SLIP_slip,ViT-B-SLIP_slip,ViT-B-SLIP_slip.h5,True,srpr,Identity-50,False,13,2,4
ViT-B-SLIP_slip,ViT-B-SLIP_slip,ViT-B-SLIP_slip.h5,True,wrsa,Identity-50,False,13,3,4
ViT-L-SimCLR_slip,ViT-L-SimCLR_slip,ViT-L-SimCLR_slip.h5,True,crsa,Linear-64,False,12,4,4
ViT-L-SimCLR_slip,ViT-L-SimCLR_slip,ViT-L-SimCLR_slip.h5,True,srpr,Identity-98,False,12,3,4
ViT-L-SimCLR_slip,ViT-L-SimCLR_slip,ViT-L-SimCLR_slip.h5,True,wrsa,Identity-98,False,12,4,4
ViT-L-CLIP_slip,ViT-L-CLIP_slip,ViT-L-CLIP_slip.h5,True,crsa,LayerNorm-42,False,12,4,4
ViT-L-CLIP_slip,ViT-L-CLIP_slip,ViT-L-CLIP_slip.h5,True,srpr,Linear-49,False,12,3,4
ViT-L-CLIP_slip,ViT-L-CLIP_slip,ViT-L-CLIP_slip.h5,True,wrsa,Identity-98,False,12,3,4
ViT-L-SLIP_slip,ViT-L-SLIP_slip,ViT-L-SLIP_slip.h5,True,crsa,Linear-60,False,12,4,4
ViT-L-SLIP_slip,ViT-L-SLIP_slip,ViT-L-SLIP_slip.h5,True,srpr,Block-24,False,12,2,4
ViT-L-SLIP_slip,ViT-L-SLIP_slip,ViT-L-SLIP_slip.h5,True,wrsa,Identity-98,False,12,3,4
mixer_b16_224_classification,mixer_b16_224_classification,mixer_b16_224_classification.h5,True,crsa,Linear-39,False,12,4,4
mixer_b16_224_classification,mixer_b16_224_classification,mixer_b16_224_classification.h5,True,srpr,Linear-35,False,12,2,4
mixer_b16_224_classification,mixer_b16_224_classification,mixer_b16_224_classification.h5,True,wrsa,GELU-21,False,12,2,4
mixer_l16_224_classification,mixer_l16_224_classification,mixer_l16_224_classification.h5,True,crsa,Linear-79,False,11,4,4
mixer_l16_224_classification,mixer_l16_224_classification,mixer_l16_224_classification.h5,True,srpr,Linear-71,False,11,3,4
mixer_l16_224_classification,mixer_l16_224_classification,mixer_l16_224_classification.h5,True,wrsa,Linear-77,False,11,2,4
resmlp_big_24_224_classification,resmlp_big_24_224_classification,resmlp_big_24_224_classification.h5,True,crsa,Identity-36,False,12,2,4
resmlp_big_24_224_classification,resmlp_big_24_224_classification,resmlp_big_24_224_classification.h5,True,srpr,Affine-42,False,12,1,4
resmlp_big_24_224_classification,resmlp_big_24_224_classification,resmlp_big_24_224_classification.h5,True,wrsa,Linear-62,False,12,2,4
convnext_base_in22k_classification,convnext_base_in22k_classification,convnext_base_in22k_classification.h5,True,crsa,LayerNorm-27,False,12,4,4
convnext_base_in22k_classification,convnext_base_in22k_classification,convnext_base_in22k_classification.h5,True,srpr,Conv2d-26,False,12,4,4
convnext_base_in22k_classification,convnext_base_in22k_classification,convnext_base_in22k_classification.h5,True,wrsa,Conv2d-26,False,12,4,4
convnext_large_in22k_classification,convnext_large_in22k_classification,convnext_large_in22k_classification.h5,True,crsa,Conv2d-23,False,12,2,4
convnext_large_in22k_classification,convnext_large_in22k_classification,convnext_large_in22k_classification.h5,True,srpr,Linear-45,False,12,3,4
convnext_large_in22k_classification,convnext_large_in22k_classification,convnext_large_in22k_classification.h5,True,wrsa,Linear-45,False,12,3,4
mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification.h5,True,crsa,LayerNorm-18,False,12,4,4
mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification.h5,True,srpr,Linear-39,False,12,2,4
mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification,mixer_b16_224_in21k_classification.h5,True,wrsa,Linear-35,False,12,4,4
mixer_l16_224_in21k_classification,mixer_l16_224_in21k_classification,mixer_l16_224_in21k_classification.h5,True,crsa,Linear-95,False,11,3,4
mixer_l16_224_in21k_classification,mixer_l16_224_in21k_classification,mixer_l16_224_in21k_classification.h5,True,srpr,Linear-71,False,11,2,4
mixer_l16_224_in21k_classification,mixer_l16_224_in21k_classification,mixer_l16_224_in21k_classification.h5,True,wrsa,Linear-63,False,11,2,4
swin_base_patch4_window7_224_in22k_classification,swin_base_patch4_window7_224_in22k_classification,swin_base_patch4_window7_224_in22k_classification.h5,True,crsa,Linear-100,True,11,2,4
swin_base_patch4_window7_224_in22k_classification,swin_base_patch4_window7_224_in22k_classification,swin_base_patch4_window7_224_in22k_classification.h5,True,srpr,Linear-69,False,11,2,4
swin_base_patch4_window7_224_in22k_classification,swin_base_patch4_window7_224_in22k_classification,swin_base_patch4_window7_224_in22k_classification.h5,True,wrsa,Linear-92,False,11,3,4
swin_large_patch4_window7_224_in22k_classification,swin_large_patch4_window7_224_in22k_classification,swin_large_patch4_window7_224_in22k_classification.h5,True,crsa,Linear-100,True,11,2,4
swin_large_patch4_window7_224_in22k_classification,swin_large_patch4_window7_224_in22k_classification,swin_large_patch4_window7_224_in22k_classification.h5,True,srpr,Linear-92,False,11,2,4
swin_large_patch4_window7_224_in22k_classification,swin_large_patch4_window7_224_in22k_classification,swin_large_patch4_window7_224_in22k_classification.h5,True,wrsa,Linear-100,True,11,1,4
resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k_classification.h5,True,crsa,Identity-33,False,12,4,4
resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k_classification.h5,True,srpr,Linear-53,False,12,2,4
resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k_classification,resmlp_big_24_224_in22ft1k_classification.h5,True,wrsa,Linear-55,False,12,2,4
vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k_classification.h5,True,crsa,Identity-50,False,11,4,4
vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k_classification.h5,True,srpr,LayerNorm-25,False,11,2,4
vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k_classification,vit_base_patch16_224_in21k_classification.h5,True,wrsa,Linear-49,True,11,3,4
vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k_classification.h5,True,crsa,Identity-50,False,11,4,4
vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k_classification.h5,True,srpr,Identity-50,False,11,1,4
vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k_classification,vit_small_patch16_224_in21k_classification.h5,True,wrsa,Linear-49,True,11,3,4
vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k_classification.h5,True,crsa,LayerNorm-28,False,12,3,4
vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k_classification.h5,True,srpr,Linear-55,False,12,3,4
vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k_classification,vit_large_patch16_224_in21k_classification.h5,True,wrsa,Identity-98,False,12,1,4
vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k_classification.h5,True,crsa,LayerNorm-25,False,11,4,4
vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k_classification.h5,True,srpr,LayerNorm-25,False,11,3,4
vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k_classification,vit_base_patch32_224_in21k_classification.h5,True,wrsa,Linear-39,False,11,3,4
vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k_classification.h5,True,crsa,LayerNorm-24,False,11,2,4
vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k_classification.h5,True,srpr,LayerNorm-24,False,11,1,4
vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k_classification,vit_small_patch32_224_in21k_classification.h5,True,wrsa,Linear-49,True,11,2,4
alexnet_gn_ipcl_imagenet,alexnet_gn_ipcl_imagenet_ipcl,alexnet_gn_ipcl_imagenet.h5,True,crsa,ReLU-6,True,13,4,4
alexnet_gn_ipcl_imagenet,alexnet_gn_ipcl_imagenet_ipcl,alexnet_gn_ipcl_imagenet.h5,True,srpr,ReLU-6,True,13,4,4
alexnet_gn_ipcl_imagenet,alexnet_gn_ipcl_imagenet_ipcl,alexnet_gn_ipcl_imagenet.h5,True,wrsa,ReLU-6,True,13,4,4
alexnet_gn_ipcl_openimages,alexnet_gn_ipcl_openimages_ipcl,alexnet_gn_ipcl_openimages.h5,True,crsa,BatchNorm1d-1,True,13,4,4
alexnet_gn_ipcl_openimages,alexnet_gn_ipcl_openimages_ipcl,alexnet_gn_ipcl_openimages.h5,True,srpr,ReLU-6,True,13,3,4
alexnet_gn_ipcl_openimages,alexnet_gn_ipcl_openimages_ipcl,alexnet_gn_ipcl_openimages.h5,True,wrsa,ReLU-6,True,13,3,4
alexnet_gn_ipcl_places256,alexnet_gn_ipcl_places256_ipcl,alexnet_gn_ipcl_places256.h5,True,crsa,BatchNorm1d-1,True,13,2,4
alexnet_gn_ipcl_places256,alexnet_gn_ipcl_places256_ipcl,alexnet_gn_ipcl_places256.h5,True,srpr,ReLU-6,True,13,4,4
alexnet_gn_ipcl_places256,alexnet_gn_ipcl_places256_ipcl,alexnet_gn_ipcl_places256.h5,True,wrsa,ReLU-6,True,13,4,4
alexnet_gn_ipcl_vggface2,alexnet_gn_ipcl_vggface2_ipcl,alexnet_gn_ipcl_vggface2.h5,True,crsa,Linear-3,True,13,2,4
alexnet_gn_ipcl_vggface2,alexnet_gn_ipcl_vggface2_ipcl,alexnet_gn_ipcl_vggface2.h5,True,srpr,ReLU-6,True,13,3,4
alexnet_gn_ipcl_vggface2,alexnet_gn_ipcl_vggface2_ipcl,alexnet_gn_ipcl_vggface2.h5,True,wrsa,ReLU-7,True,13,2,4
